Name,Address,Rating
The Wende Museum,"10808 Culver Blvd, Culver City, CA 90230, United States",4.7
Going Everywhere Fast Mural,"3311 McManus Ave, Culver City, CA 90232, United States",0
Zoetropes of Culver City,"9527 Culver Blvd, Culver City, CA 90232, United States",5
America Needs Brains Mural,"3051 S La Cienega Blvd, Culver City, CA 90232, United States",5
Stoneview Nature Center,"5950 Stoneview Dr, Culver City, CA 90232, United States",4.8
Star Eco Station,"10101 Jefferson Blvd, Culver City, CA 90232, United States",4.7
Lavender Chiveevi,"5950 Stoneview Dr, Culver City, CA 90232, United States",0
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Culver City sign,"6323 S Sepulveda Blvd, Los Angeles, CA 90045, United States",5
Mural by Brooklynd Flowers,"11029 Washington Blvd, Culver City, CA 90232, United States",0
Citizen Seeds Site 5,"7009 Wrightcrest Dr, Culver City, CA 90232, United States",0
Media Park,"9091 Culver Blvd, Culver City, CA 90232, United States",4
Welcome to Mar Vista Mural,"12124 Venice Blvd., Los Angeles, CA 90066, United States",5
Culver City Historical Society,"4117 Overland Ave, Culver City, CA 90230, United States",4.8
Beehive by Eric Owen Moss Architects,"8520 National Blvd, Culver City, CA 90232, United States",0
Tellefson Park,"11057 Washington Pl, Culver City, CA 90232, United States",4.4
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
Beverly Hills sign (small),"9091 Santa Monica Blvd, West Hollywood, CA 90069, United States",4.5
Hollywood Walk of Fame,"Hollywood Boulevard, Vine St, Los Angeles, CA 90028, United States",4
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
Sunset Strip,"Sunset / Clark, West Hollywood, CA 90069, United States",3.5
Hollywood Sign,"Los Angeles, CA 90068, United States",4.6
Warner Bros. Studio Tour Hollywood,"3400 Warner Blvd, Burbank, CA 91505, United States",4.5
Universal Studio Tour,"100 Universal City Plaza, Universal City, CA 91608, United States",4.8
The Chats de Thé Green Wall,"8017 Melrose Ave, Los Angeles, CA 90046, United States",5
The Paul Smith Pink Wall,"8221 Melrose Ave, Los Angeles, CA 90046, United States",4
Stahl House,"1635 Woods Dr, West Hollywood, CA 90069, United States",4.8
“Eclipse Tower”,"9255 Doheny Rd, West Hollywood, CA 90069, United States",5
Runyon Canyon Park,"2000 N Fuller Ave, Los Angeles, CA 90046, United States",4.8
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Kings Road Park,"1000 Kings Rd, West Hollywood, CA 90069, United States",4.4
The Golden Triangle,"9800 Wilshire Blvd, Beverly Hills, CA 90212, United States",4.7
Hollywood Wax Museum,"6767 Hollywood Blvd, Los Angeles, CA 90028, United States",4.4
Historical MARILYN MONROE Apartment,"882 N Doheny Dr, West Hollywood, CA 90069, United States",5
Ripley's Believe It or Not!,"6780 Hollywood Blvd, Hollywood, CA 90028, United States",4.2
Upper Las Virgenes Canyon Open Space Preserve,"Western end of, Victory Blvd, Woodland Hills, CA 91367, United States",4.7
Robinson's Liberty Bells,"2146005015, Woodland Hills, CA 91367, United States",5
Jay’s lookout,"20301 Mulholland Dr, Woodland Hills, CA 91364, United States",5
Top of Topanga Overlook,"3400 N Topanga Canyon Blvd, Topanga, CA 90290, United States",4.7
Costanso Fire Station 84 Park,"Woodland Hills, CA 91364, United States",4.7
Parkman Murals & Mosaics,"20800 Burbank Blvd, Woodland Hills, CA 91367, United States",3
Free Little Library,"22153 Farralone Ave, West Hills, CA 91303, United States",0
Corbin Canyon Park,"4CWH+PM, Woodland Hills, CA 91364, United States",4.5
Bluth Model Home,"23155 Dolorosa St, Woodland Hills, CA 91367, United States",0
Serrania Park,"20726 Wells Dr, Woodland Hills, CA 91364, United States",4.4
Shadow Ranch Park,"22633 Vanowen St, West Hills, CA 91307, United States",4.4
"King Gillette Ranch, Mountains Recreation & Conservation Authority","26800 Mulholland Hwy, Calabasas, CA 91302, United States",4.6
Cave of Munits,"24501 Vanowen St, West Hills, CA 91307, United States",4.7
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Topanga State Park,"20828 Entrada Rd, Topanga, CA 90290, United States",4.7
Reseda Stones,"Randal D. Simmons Park, 6731 Wilbur Ave, Reseda, CA 91335, United States",4.2
S. Mark Taper Life Science Botanical Garden,"2700 Pierce Ln, Woodland Hills, CA 91367, United States",4.4
Shoup Park Summit,"Woodland Hills, CA 91367, United States",4.7
Hunter's lookout,"4CRH+PP, Los Angeles, CA 91364, United States",5
Woodland Hills Recreation Center,"5858 Shoup Ave, Woodland Hills, CA 91367, United States",4.7
Sights L.A.,"3818 Crenshaw Blvd suite 221, Los Angeles, CA 90008, United States",5
La Brea Tar Pits and Museum,"5801 Wilshire Blvd, Los Angeles, CA 90036, United States",4.6
Guns N' Roses - 'Welcome to the Jungle' video film Site,"6th St, Los Angeles, CA 90036, United States",4.3
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
The Broad,"221 S Grand Ave, Los Angeles, CA 90012, United States",4.7
The Global Angel Wings Project,"3014 W Olympic Blvd, Los Angeles, CA 90006, United States",4
Natural History Museum of Los Angeles County,"900 Exposition Blvd, Los Angeles, CA 90007, United States",4.8
Hollywood Walk of Fame,"Hollywood Boulevard, Vine St, Los Angeles, CA 90028, United States",4
Petersen Automotive Museum,"6060 Wilshire Blvd, Los Angeles, CA 90036, United States",4.7
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Kenneth Hahn View Point,"Los Angeles, CA 90008, United States",4.9
Los Angeles County Museum of Art,"5905 Wilshire Blvd, Los Angeles, CA 90036, United States",4.6
World of Illusions Los Angeles,"6751 Hollywood Blvd, Los Angeles, CA 90028, United States",4.1
Wilshire Center Sign,"3968 Wilshire Blvd, Los Angeles, CA 90010, United States",0
Hollywood Sign,"Los Angeles, CA 90068, United States",4.6
Bradbury Building,"304 S Broadway, Los Angeles, CA 90013, United States",4.5
Beverly Hills Sign,"Beverly Hills, CA 90211, United States",4.6
Hollywood Wax Museum,"6767 Hollywood Blvd, Los Angeles, CA 90028, United States",4.4
The Global Angel Wings Project,"3014 W Olympic Blvd, Los Angeles, CA 90006, United States",4
Natural History Museum of Los Angeles County,"900 Exposition Blvd, Los Angeles, CA 90007, United States",4.8
The Broad,"221 S Grand Ave, Los Angeles, CA 90012, United States",4.7
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
"Public Art ""White Doves""","34°03'26.2""N 118°16'36., CA-2, Los Angeles, CA 90057, United States",3.3
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
The Grammy Walk of Fame,"Los Angeles, CA 90015, United States",3.8
‘Downtown’ Sign,"1840 S Figueroa St, Los Angeles, CA 90015, United States",0
59th Grammy Awards,"815 W Olympic Blvd, Los Angeles, CA 90015, United States",5
The Korea Daily Square (중앙일보 스퀘어),"United States, California, Los Angeles, Normandie Ave, Wilshire Blvd &",0
GRAMMY Museum L.A. Live,"800 W Olympic Blvd, Los Angeles, CA 90015, United States",4.4
Kenneth Hahn View Point,"Los Angeles, CA 90008, United States",4.9
Hollywood Walk of Fame,"Hollywood Boulevard, Vine St, Los Angeles, CA 90028, United States",4
World of Illusions Los Angeles,"6751 Hollywood Blvd, Los Angeles, CA 90028, United States",4.1
Japanese American National Museum,"100 N Central Ave, Los Angeles, CA 90012, United States",4.7
Bradbury Building,"304 S Broadway, Los Angeles, CA 90013, United States",4.5
Seoul International Park,"Parking lot, 3250 San Marino St, Los Angeles, CA 90006, United States",4.3
La Brea Tar Pits and Museum,"5801 Wilshire Blvd, Los Angeles, CA 90036, United States",4.6
Reseda Stones,"Randal D. Simmons Park, 6731 Wilbur Ave, Reseda, CA 91335, United States",4.2
Northridge sign,"Los Angeles, CA 91324, United States",0
Reseda Park,"18411 Victory Blvd, Reseda, CA 91335, United States",4.4
Jesse Owens Park,"7111 White Oak Ave, Reseda, CA 91335, United States",4.2
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Marvin Braude Mulholland Gateway Park,"3600 Reseda Blvd, Tarzana, CA 91356, United States",4.7
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Reseda Park Lake,"Park Lake, Reseda, CA 91335, United States",4.5
The Museum of the San Fernando Valley,"18904 Nordhoff St, Northridge, CA 91324, United States",4.3
Sepulveda Dam,"15758 Burbank Blvd, Van Nuys, CA 91406, United States",4.7
Big Dog,"North Hills, CA 91343, United States",4.8
North Reseda Park,"Los Angeles, CA 91335, United States",0
Old Los Angeles Zoo,"4801 Griffith Park Dr, Los Angeles, CA 90027, United States",4.6
Garden of the Gods,"Santa Susana Pass at, Redmesa Rd, Chatsworth, CA 91311, United States",4.7
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
Kenneth Hahn View Point,"Los Angeles, CA 90008, United States",4.9
View,"7695-7699 Mulholland Dr, Los Angeles, CA 90046, United States",4.7
Los Encinos State Historic Park,"16756 Moorpark St, Encino, CA 91436, United States",4.6
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
Discovery Cube Los Angeles,"11800 Foothill Blvd, Sylmar, CA 91342, United States",4.4
Del Valle Park,"5939 Henrilee St, Lakewood, CA 90713, United States",4.7
San Martin Park,"5231 Ocana Ave, Lakewood, CA 90713, United States",4.6
Mae Boyar Park,"6701 Del Amo Blvd, Lakewood, CA 90713, United States",4.4
Rynerson Park,"20711 Studebaker Rd, Lakewood, CA 90715, United States",4.6
Rancho Los Cerritos,"4600 Virginia Rd, Long Beach, CA 90807, United States",4.8
Bolivar Park,"3300 Del Amo Blvd, Lakewood, CA 90712, United States",4.6
El Dorado Nature Center,"7550 E Spring St, Long Beach, CA 90815, United States",4.8
West San Gabriel River Parkway Nature Trail,"4626 Shadeway Rd, Lakewood, CA 90713, United States",4.4
Cerritos Heritage Park,"18600 Bloomfield Ave, Cerritos, CA 90703, United States",4.7
Bloomfield Park,"21420 Pioneer Blvd, Lakewood, CA 90715, United States",4.4
Aquarium of the Pacific,"100 Aquarium Way, Long Beach, CA 90802, United States",4.6
Monte Verde Park,"4626 Shadeway Rd, Lakewood, CA 90713, United States",4.8
Battleship USS Iowa Museum,"250 S Harbor Blvd, Los Angeles, CA 90731, United States",4.8
Candleverde Park,"6302 Candlewood St, Lakewood, CA 90713, United States",4.2
Gridley Park,"Gridley Park, 19734 Gridley Rd, Cerritos, CA 90703, United States",4.4
Signal Hill Park,"2175 Cherry Ave, Signal Hill, CA 90755, United States",4.6
Pan American Park,"5157 E Centralia St, Long Beach, CA 90808, United States",4.3
El Dorado East Regional Park,"7550 E Spring St, Long Beach, CA 90815, United States",4.7
Don Knabe Community Regional Park,"19700 Bloomfield Ave, Cerritos, CA 90703, United States",4.6
Earl Burns Miller Japanese Garden,"Earl Warren Dr, Long Beach, CA 90840, United States",4.6
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Old Los Angeles Zoo,"4801 Griffith Park Dr, Los Angeles, CA 90027, United States",4.6
Silver Lake Meadows,"2300 Silver Lake Blvd, Los Angeles, CA 90039, United States",4.5
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Murray Stairway,"Los Angeles, CA 90026, United States",5
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
826LA & The Echo Park Time Travel Mart,"1714 Sunset Blvd, Los Angeles, CA 90026, United States",4.5
Griffith Observatory,"2800 E Observatory Rd, Los Angeles, CA 90027, United States",4.7
Glendale Narrows,"Glendale Fwy, Los Angeles, CA 90039, United States",4.6
Barnsdall Art Park,"4800 Hollywood Blvd, Los Angeles, CA 90027, United States",4.5
Autry Museum of the American West,"Griffith Park, 4700 Western Heritage Way, Los Angeles, CA 90027, United States",4.6
Glassell Park Sign,"Los Angeles, CA 90065, United States",5
Los Angeles Zoo,"5333 Zoo Dr, Los Angeles, CA 90027, United States",4.4
The Broad,"221 S Grand Ave, Los Angeles, CA 90012, United States",4.7
"Public Art ""Triforium""","Fletcher Bowron Square, Los Angeles, CA 90012, United States",4
Clinton Street Stairway,"Glendale Blvd, Los Angeles, CA 90026, United States",4.1
Natural History Museum of Los Angeles County,"900 Exposition Blvd, Los Angeles, CA 90007, United States",4.8
Lewis MacAdams Riverfront Park (formerly Marsh Park),"2944 Gleneden St, Los Angeles, CA 90039, United States",4.6
North Atwater Park,"3900 Chevy Chase Dr, Los Angeles, CA 90039, United States",4.3
Sights L.A.,"3818 Crenshaw Blvd suite 221, Los Angeles, CA 90008, United States",5
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Baldwin Hills Scenic Overlook,"6300 Hetzler Rd, Culver City, CA 90232, United States",4.8
Kenneth Hahn View Point,"Los Angeles, CA 90008, United States",4.9
Rebel Without A Cause with James Dean scene.,"6132 S Citrus Ave, View Park-Windsor Hills, CA 90043, United States",0
Natural History Museum of Los Angeles County,"900 Exposition Blvd, Los Angeles, CA 90007, United States",4.8
Griffith Park,"Los Angeles, CA 90027, United States",4.7
The Broad,"221 S Grand Ave, Los Angeles, CA 90012, United States",4.7
"Public Art ""Aquarius""","Union Bank Plaza, 445 S Figueroa St, Los Angeles, CA 90071, United States",5
Scavenger Hunt Walking Tours - Los Angeles Union Station,"800 N Alameda St, Los Angeles, CA 90012, United States",4
DTLA Arts District,"3rd St. &, Alameda St, Los Angeles, CA 90013, United States",4.8
Citizen Seeds Site 1,"Stocker, Valley Ridge Ave, View Park-Windsor Hills, CA 90008, United States",0
La Brea Tar Pits and Museum,"5801 Wilshire Blvd, Los Angeles, CA 90036, United States",4.6
Kenneth Hahn State Recreation Area,"4100 S La Cienega Blvd, Los Angeles, CA 90056, United States",4.7
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
The Wende Museum,"10808 Culver Blvd, Culver City, CA 90230, United States",4.7
Sony Pictures Studio Tour,"3990 Overland Ave, Culver City, CA 90232, United States",4.3
Tones Art District,"Los Angeles, CA 90037, United States",5
Culver City Park,"9910 Jefferson Blvd, Culver City, CA 90232, United States",4.6
"Public Art ""Triforium""","Fletcher Bowron Square, Los Angeles, CA 90012, United States",4
Shoreline Village,"429 Shoreline Village Drive, Long Beach, CA 90802, United States",4.6
Aquarium of the Pacific,"100 Aquarium Way, Long Beach, CA 90802, United States",4.6
The Queen Mary,"1126 Queens Hwy, Long Beach, CA 90802, United States",4.4
Hilltop Park,"2351 Dawson Ave, Signal Hill, CA 90755, United States",4.8
ShoreLine Aquatic Park,"200 Aquarium Way, Long Beach, CA 90802, United States",4.7
El Dorado Nature Center,"7550 E Spring St, Long Beach, CA 90815, United States",4.8
LA Waterfront,"600 E 5th St, San Pedro, CA 90731, United States",4.5
Signal Hill Park,"2175 Cherry Ave, Signal Hill, CA 90755, United States",4.6
Rainbow Lagoon Park,"400 E Shoreline Dr, Long Beach, CA 90802, United States",4.6
Point Vicente Interpretive Center,"31501 Palos Verdes Dr W, Rancho Palos Verdes, CA 90275, United States",4.8
El Dorado East Regional Park,"7550 E Spring St, Long Beach, CA 90815, United States",4.7
Marine Stadium,"5255 E Paoli Way, Long Beach, CA 90803, United States",4.6
Bluff Park,"2500 E Ocean Blvd, Long Beach, CA 90803, United States",4.6
Long Beach Sign,"W Shoreline Dr, Long Beach, CA 90802, United States",4.5
Harry Bridges Memorial Park,"1126 Queens Hwy, Long Beach, CA 90802, United States",4.5
Cabrillo Marine Aquarium,"3720 Stephen M White Dr, San Pedro, CA 90731, United States",4.6
Ken Malloy Harbor Regional Park,"25820 Vermont Ave, Harbor City, CA 90710, United States",4.6
Knott's Berry Farm,"8039 Beach Blvd, Buena Park, CA 90620, United States",4.6
Cesar E. Chavez Park,"401 Golden Ave, Long Beach, CA 90802, United States",4.3
Golden Shore Marine Biological Reserve,"201 Golden Shore, Long Beach, CA 90802, United States",4.5
Venice Canals,"Venice, CA 90292, United States",4.6
Venice Boardwalk,"Beach pavillion in, Los Angeles, CA, United States",4.5
Universal Studios Hollywood,"100 Universal City Plaza, Universal City, CA 91608, United States",4.6
Fisherman's Village,"13755 Fiji Way, Marina Del Rey, CA 90292, United States",4.4
Venice Breakwater,"Ocean Front Walk, Venice, CA 90292, United States",4.8
Venice Beach Recreation Center,"1800 Ocean Front Walk, Venice, CA 90291, United States",4.5
Tongva Park,"1615 Ocean Ave, Santa Monica, CA 90401, United States",4.5
California Science Center,"700 Exposition Park Dr, Los Angeles, CA 90037, United States",4.7
Natural History Museum of Los Angeles County,"900 Exposition Blvd, Los Angeles, CA 90007, United States",4.8
Palisades Park,"Ocean Ave, Santa Monica, CA 90401, United States",4.7
Mothers Beach,"4101 Admiralty Way, Marina Del Rey, CA 90292, United States",4.6
Del Rey Lagoon,"6660 Esplanade Place, Playa Del Rey, CA 90293, United States",4.5
Santa Monica Pier,"200 Santa Monica Pier, Santa Monica, CA 90401, United States",4.6
Venice Rainbow Path,"2709 E 27th Ave, Venice, CA 90291, United States",4
Venice Pride Flag Lifeguard Tower,"998 Ocean Front Walk, Venice, CA 90291, United States",4.6
"Mosaic Tile House Venice, CA","1116 Palms Blvd, Venice, CA 90291, United States",4.8
Original Muscle Beach Santa Monica,"Ocean Front Walk, Santa Monica, CA 90401, United States",4.6
Malibu Pier,"23000 CA-1, Malibu, CA 90265, United States",4.5
Universal CityWalk Hollywood,"100 Universal City Plaza, Universal City, CA 91608, United States",4.6
Crescent Bay Park,"2000 Ocean Ave, Santa Monica, CA 90405, United States",4.6
Bronson Caves,"3200 Canyon Dr, Los Angeles, CA 90068, United States",4.5
Paramount Pictures Studio Tour,"5515 Melrose Ave, Los Angeles, CA 90038, United States",4.5
Guinness World Records Museum,"6764 Hollywood Blvd, Los Angeles, CA 90028, United States",3.8
Griffith Park,"Los Angeles, CA 90027, United States",4.7
Barnsdall Art Park,"4800 Hollywood Blvd, Los Angeles, CA 90027, United States",4.5
Hollywood Walk of Fame,"Hollywood Boulevard, Vine St, Los Angeles, CA 90028, United States",4
Old Los Angeles Zoo,"4801 Griffith Park Dr, Los Angeles, CA 90027, United States",4.6
Hollyhock House,"4800 Hollywood Blvd, Los Angeles, CA 90027, United States",4.5
Hollywood Wax Museum,"6767 Hollywood Blvd, Los Angeles, CA 90028, United States",4.4
World of Illusions Los Angeles,"6751 Hollywood Blvd, Los Angeles, CA 90028, United States",4.1
Ripley's Believe It or Not!,"6780 Hollywood Blvd, Hollywood, CA 90028, United States",4.2
